symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00043000,-0.712,0.06029115,0.06039000,0.05996000,0.09300000,0.05996000,496.88740000,0.05997000,90.01570000,0.06039000,0.06070000,0.05995000,16423.33490000,990.18171099,1695138012076,1695224412076,423144217,423173305,29089
LTCBTC,-0.00010900,-4.385,0.00243404,0.00248600,0.00237700,5.26800000,0.00237600,265.05100000,0.00237700,13.27100000,0.00248600,0.00249100,0.00236900,94087.50700000,229.01311967,1695138013884,1695224413884,93543640,93559268,15629
BNBBTC,-0.00002100,-0.264,0.00797750,0.00795900,0.00794100,0.84100000,0.00794000,26.78300000,0.00794100,6.18600000,0.00796200,0.00800700,0.00794000,15591.63400000,124.38228230,1695138012120,1695224412120,227209713,227232456,22744
NEOBTC,-0.00000390,-1.396,0.00028043,0.00027930,0.00027550,29.31000000,0.00027540,101.66000000,0.00027570,31.58000000,0.00027940,0.00028550,0.00027540,13759.64000000,3.85864007,1695138011996,1695224411996,45516953,45520943,3991
QTUMETH,0.00000800,0.591,0.00134276,0.00136100,0.00136100,1.70000000,0.00135600,90.60000000,0.00135900,163.80000000,0.00135300,0.00136100,0.00134100,720.80000000,0.96786110,1695138006099,1695224406099,5402174,5402200,27
EOSETH,0.00000280,0.798,0.00035237,0.00035170,0.00035370,30.50000000,0.00035340,33.10000000,0.00035370,23.10000000,0.00035090,0.00035570,0.00034960,11807.20000000,4.16045969,1695138006223,1695224406223,23498139,23498268,130
SNTETH,0.00000049,3.611,0.00001385,0.00001367,0.00001406,2026.00000000,0.00001406,4374.00000000,0.00001408,7162.00000000,0.00001357,0.00001416,0.00001356,452186.00000000,6.26218129,1695138003645,1695224403645,3906949,3907173,225
BNTETH,-0.00000230,-0.913,0.00025153,0.00025100,0.00024950,158.10000000,0.00025000,246.00000000,0.00025100,149.80000000,0.00025180,0.00025330,0.00024950,1501.40000000,0.37764496,1695138010603,1695224410603,2235238,2235246,9
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969729,1689657369729,-1,-1,0
GASBTC,0.00000010,0.105,0.00009929,0.00009500,0.00009510,45.00000000,0.00009530,3.00000000,0.00009540,35.90000000,0.00009500,0.00010640,0.00009380,172116.70000000,17.08960290,1695137866089,1695224266089,20809482,20814287,4806
BNBETH,0.00060000,0.455,0.13229812,0.13180000,0.13240000,0.99700000,0.13240000,13.53100000,0.13250000,4.45400000,0.13180000,0.13300000,0.13160000,3592.43000000,475.27173140,1695138012360,1695224412360,56306379,56311476,5098
BTCUSDT,-218.30000000,-0.798,27151.79715757,27353.67000000,27133.40000000,0.00447000,27133.40000000,2.55490000,27133.41000000,9.82270000,27351.70000000,27483.57000000,26936.79000000,31692.92215000,860519793.54749090,1695138014346,1695224414346,3215748740,3216578168,829429
ETHUSDT,-24.86000000,-1.505,1636.31532860,1651.50000000,1626.66000000,0.53040000,1626.64000000,8.75530000,1626.65000000,63.96960000,1651.52000000,1659.52000000,1618.48000000,199842.86910000,327005950.02059600,1695138014424,1695224414424,1198382096,1198726104,344009
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969729,1689657369729,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969729,1689657369729,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969729,1689657369729,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969729,1689657369729,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969729,1689657369729,-1,-1,0
